maintenance_id,equipment_id,worker_id,type,description,status,scheduled_date,completed_date
MNT-1340,EQ-RMH-2,W-124,PREVENTIVE,Standard checks on Raw Material Handling Valve Block 2.,COMPLETED,2026-07-07T21:26:13.789862,2026-07-07T23:26:13.789862
MNT-1341,EQ-UA-5,W-136,CORRECTIVE,Standard checks on Utilities Area Extractor Fan 5.,SCHEDULED,2026-07-06T07:06:13.789862,
MNT-1342,EQ-UA-2,W-31,CORRECTIVE,Standard checks on Utilities Area Turbine Generator 2.,COMPLETED,2026-07-05T10:01:13.789862,2026-07-05T13:01:13.789862
MNT-1343,EQ-RMH-1,W-39,CORRECTIVE,Standard checks on Raw Material Handling Storage Tank 1.,SCHEDULED,2026-07-05T06:11:13.789862,
MNT-1344,EQ-CR-1,W-131,PREVENTIVE,Standard checks on Control Room Hub Preheater 1.,SCHEDULED,2026-07-05T16:51:13.789862,
MNT-1345,EQ-CR-1,W-8,PREVENTIVE,Standard checks on Control Room Hub Preheater 1.,OVERDUE,2026-07-04T04:06:13.789862,
MNT-1346,EQ-COB-1,W-2,CORRECTIVE,Standard checks on Coke Oven Battery Compressor 1.,SCHEDULED,2026-07-11T07:56:13.789862,
MNT-1347,EQ-RMH-5,W-101,PREVENTIVE,Standard checks on Raw Material Handling Steam Boiler 5.,COMPLETED,2026-07-07T08:56:13.789862,2026-07-07T09:56:13.789862
MNT-1348,EQ-UA-7,W-196,PREVENTIVE,Standard checks on Utilities Area Steam Boiler 7.,SCHEDULED,2026-07-07T08:11:13.789862,
MNT-1349,EQ-COB-5,W-21,PREVENTIVE,Standard checks on Coke Oven Battery Steam Boiler 5.,COMPLETED,2026-07-11T08:11:13.789862,2026-07-11T11:11:13.789862
MNT-1350,EQ-COB-4,W-243,EMERGENCY,Standard checks on Coke Oven Battery Extractor Fan 4.,OVERDUE,2026-07-02T18:41:13.789862,
MNT-1351,EQ-COB-4,W-157,PREVENTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,OVERDUE,2026-07-11T01:21:13.789862,
MNT-1352,EQ-BH-1,W-162,PREVENTIVE,Standard checks on Boiler House Storage Tank 1.,COMPLETED,2026-07-10T11:06:13.789862,2026-07-10T14:06:13.789862
MNT-1353,EQ-CS-1,W-105,EMERGENCY,Standard checks on Compressor Station Turbine Generator 1.,SCHEDULED,2026-07-04T08:31:13.789862,
MNT-1354,EQ-GS-1,W-224,EMERGENCY,Standard checks on Gas Storage Facility Compressor 1.,OVERDUE,2026-07-10T02:51:13.789862,
MNT-1355,EQ-MW-4,W-161,PREVENTIVE,Standard checks on Maintenance Workshop Preheater 4.,COMPLETED,2026-07-03T21:06:13.789862,2026-07-04T00:06:13.789862
MNT-1356,EQ-RMH-7,W-72,CORRECTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,COMPLETED,2026-07-05T16:16:13.789862,2026-07-05T20:16:13.789862
MNT-1357,EQ-MW-6,W-154,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 6.,OVERDUE,2026-07-05T20:11:13.789862,
MNT-1358,EQ-COB-4,W-183,CORRECTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,COMPLETED,2026-07-08T05:21:13.789862,2026-07-08T09:21:13.789862
MNT-1359,EQ-WH-2,W-34,PREVENTIVE,Standard checks on Warehouse Logistics Compressor 2.,COMPLETED,2026-07-10T07:36:13.789862,2026-07-10T10:36:13.789862
MNT-1360,EQ-RMH-2,W-205,CORRECTIVE,Standard checks on Raw Material Handling Valve Block 2.,SCHEDULED,2026-07-03T03:31:13.789862,
MNT-1361,EQ-WH-6,W-161,PREVENTIVE,Standard checks on Warehouse Logistics Steam Boiler 6.,OVERDUE,2026-07-08T13:56:13.789862,
MNT-1362,EQ-BF-4,W-145,PREVENTIVE,Standard checks on Blast Furnace Conveyor Belt 4.,SCHEDULED,2026-07-11T18:46:13.789862,
MNT-1363,EQ-UA-3,W-200,EMERGENCY,Standard checks on Utilities Area Compressor 3.,COMPLETED,2026-07-05T14:01:13.789862,2026-07-05T18:01:13.789862
MNT-1364,EQ-WH-3,W-137,PREVENTIVE,Standard checks on Warehouse Logistics Compressor 3.,COMPLETED,2026-07-05T13:46:13.789862,2026-07-05T15:46:13.789862
MNT-1365,EQ-GS-1,W-117,CORRECTIVE,Standard checks on Gas Storage Facility Compressor 1.,COMPLETED,2026-07-05T03:16:13.789862,2026-07-05T05:16:13.789862
MNT-1366,EQ-BH-5,W-184,CORRECTIVE,Standard checks on Boiler House Extractor Fan 5.,COMPLETED,2026-07-04T06:31:13.789862,2026-07-04T09:31:13.789862
MNT-1367,EQ-COB-7,W-120,PREVENTIVE,Standard checks on Coke Oven Battery Storage Tank 7.,COMPLETED,2026-07-09T14:01:13.789862,2026-07-09T18:01:13.789862
MNT-1368,EQ-GS-2,W-218,PREVENTIVE,Standard checks on Gas Storage Facility Conveyor Belt 2.,SCHEDULED,2026-07-04T04:06:13.789862,
MNT-1369,EQ-COB-6,W-155,PREVENTIVE,Standard checks on Coke Oven Battery Valve Block 6.,COMPLETED,2026-07-04T03:51:13.789862,2026-07-04T07:51:13.789862
MNT-1370,EQ-GS-3,W-193,PREVENTIVE,Standard checks on Gas Storage Facility Extractor Fan 3.,COMPLETED,2026-07-07T20:06:13.789862,2026-07-07T23:06:13.789862
MNT-1371,EQ-CS-1,W-127,CORRECTIVE,Standard checks on Compressor Station Turbine Generator 1.,SCHEDULED,2026-07-09T14:26:13.789862,
MNT-1372,EQ-MW-2,W-32,PREVENTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,COMPLETED,2026-07-04T13:01:13.789862,2026-07-04T17:01:13.789862
MNT-1373,EQ-CR-4,W-171,CORRECTIVE,Standard checks on Control Room Hub Valve Block 4.,OVERDUE,2026-07-09T14:11:13.789862,
MNT-1374,EQ-GS-5,W-152,PREVENTIVE,Standard checks on Gas Storage Facility Valve Block 5.,SCHEDULED,2026-07-02T12:51:13.789862,
MNT-1375,EQ-CR-2,W-149,CORRECTIVE,Standard checks on Control Room Hub Turbine Generator 2.,COMPLETED,2026-07-06T10:21:13.789862,2026-07-06T12:21:13.789862
MNT-1376,EQ-BH-1,W-131,CORRECTIVE,Standard checks on Boiler House Storage Tank 1.,COMPLETED,2026-07-02T10:46:13.789862,2026-07-02T14:46:13.789862
MNT-1377,EQ-BH-1,W-14,PREVENTIVE,Standard checks on Boiler House Storage Tank 1.,OVERDUE,2026-07-05T04:46:13.789862,
MNT-1378,EQ-WH-3,W-65,CORRECTIVE,Standard checks on Warehouse Logistics Compressor 3.,OVERDUE,2026-07-03T06:46:13.789862,
MNT-1379,EQ-RMH-1,W-28,EMERGENCY,Standard checks on Raw Material Handling Storage Tank 1.,OVERDUE,2026-07-03T20:26:13.789862,
MNT-1380,EQ-UA-4,W-128,PREVENTIVE,Standard checks on Utilities Area Steam Boiler 4.,SCHEDULED,2026-07-11T07:51:13.789862,
MNT-1381,EQ-CR-5,W-48,EMERGENCY,Standard checks on Control Room Hub Extractor Fan 5.,COMPLETED,2026-07-02T21:41:13.789862,2026-07-02T23:41:13.789862
MNT-1382,EQ-COB-6,W-225,EMERGENCY,Standard checks on Coke Oven Battery Valve Block 6.,SCHEDULED,2026-07-08T19:51:13.789862,
MNT-1383,EQ-UA-6,W-47,PREVENTIVE,Standard checks on Utilities Area Extractor Fan 6.,SCHEDULED,2026-07-03T07:01:13.789862,
MNT-1384,EQ-GS-5,W-133,EMERGENCY,Standard checks on Gas Storage Facility Valve Block 5.,COMPLETED,2026-07-07T19:21:13.789862,2026-07-07T22:21:13.789862
MNT-1385,EQ-UA-7,W-126,CORRECTIVE,Standard checks on Utilities Area Steam Boiler 7.,SCHEDULED,2026-07-11T14:31:13.789862,
MNT-1386,EQ-GS-3,W-195,PREVENTIVE,Standard checks on Gas Storage Facility Extractor Fan 3.,COMPLETED,2026-07-07T21:26:13.789862,2026-07-07T23:26:13.789862
MNT-1387,EQ-CR-1,W-132,EMERGENCY,Standard checks on Control Room Hub Preheater 1.,SCHEDULED,2026-07-04T08:31:13.789862,
MNT-1388,EQ-BH-3,W-105,PREVENTIVE,Standard checks on Boiler House Valve Block 3.,OVERDUE,2026-07-02T06:01:13.789862,
MNT-1389,EQ-RMH-3,W-193,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 3.,SCHEDULED,2026-07-08T05:31:13.789862,
MNT-1390,EQ-CS-3,W-202,EMERGENCY,Standard checks on Compressor Station Valve Block 3.,SCHEDULED,2026-07-10T04:56:13.789862,
MNT-1391,EQ-RMH-7,W-110,PREVENTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,SCHEDULED,2026-07-07T13:31:13.789862,
MNT-1392,EQ-CS-1,W-123,CORRECTIVE,Standard checks on Compressor Station Turbine Generator 1.,COMPLETED,2026-07-11T19:01:13.789862,2026-07-11T23:01:13.789862
MNT-1393,EQ-GS-4,W-231,PREVENTIVE,Standard checks on Gas Storage Facility Compressor 4.,SCHEDULED,2026-07-07T14:21:13.789862,
MNT-1394,EQ-CR-2,W-203,PREVENTIVE,Standard checks on Control Room Hub Turbine Generator 2.,OVERDUE,2026-07-02T01:21:13.789862,
MNT-1395,EQ-MW-2,W-139,PREVENTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,COMPLETED,2026-07-03T21:06:13.789862,2026-07-03T23:06:13.789862
MNT-1396,EQ-GS-3,W-162,EMERGENCY,Standard checks on Gas Storage Facility Extractor Fan 3.,OVERDUE,2026-07-06T19:16:13.789862,
MNT-1397,EQ-BF-4,W-23,EMERGENCY,Standard checks on Blast Furnace Conveyor Belt 4.,SCHEDULED,2026-07-07T10:21:13.789862,
MNT-1398,EQ-MW-1,W-4,CORRECTIVE,Standard checks on Maintenance Workshop Valve Block 1.,SCHEDULED,2026-07-06T14:26:13.789862,
MNT-1399,EQ-COB-7,W-176,EMERGENCY,Standard checks on Coke Oven Battery Storage Tank 7.,OVERDUE,2026-07-05T14:31:13.789862,
MNT-1400,EQ-BF-3,W-188,EMERGENCY,Standard checks on Blast Furnace Valve Block 3.,SCHEDULED,2026-07-02T20:56:13.789862,
MNT-1401,EQ-UA-3,W-240,CORRECTIVE,Standard checks on Utilities Area Compressor 3.,COMPLETED,2026-07-04T07:31:13.789862,2026-07-04T09:31:13.789862
MNT-1402,EQ-RMH-3,W-102,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 3.,SCHEDULED,2026-07-08T07:56:13.789862,
MNT-1403,EQ-RMH-2,W-152,CORRECTIVE,Standard checks on Raw Material Handling Valve Block 2.,SCHEDULED,2026-07-09T10:26:13.789862,
MNT-1404,EQ-GS-4,W-111,EMERGENCY,Standard checks on Gas Storage Facility Compressor 4.,SCHEDULED,2026-07-10T16:51:13.789862,
MNT-1405,EQ-BH-1,W-201,PREVENTIVE,Standard checks on Boiler House Storage Tank 1.,COMPLETED,2026-07-09T14:41:13.789862,2026-07-09T16:41:13.789862
MNT-1406,EQ-CR-4,W-236,PREVENTIVE,Standard checks on Control Room Hub Valve Block 4.,OVERDUE,2026-07-02T08:56:13.789862,
MNT-1407,EQ-RMH-5,W-178,EMERGENCY,Standard checks on Raw Material Handling Steam Boiler 5.,SCHEDULED,2026-07-05T02:31:13.789862,
MNT-1408,EQ-MW-5,W-250,EMERGENCY,Standard checks on Maintenance Workshop Storage Tank 5.,SCHEDULED,2026-07-10T08:16:13.789862,
MNT-1409,EQ-GS-5,W-130,PREVENTIVE,Standard checks on Gas Storage Facility Valve Block 5.,SCHEDULED,2026-07-05T23:41:13.789862,
MNT-1410,EQ-BH-2,W-226,EMERGENCY,Standard checks on Boiler House Preheater 2.,OVERDUE,2026-07-10T10:46:13.789862,
MNT-1411,EQ-RMH-6,W-132,PREVENTIVE,Standard checks on Raw Material Handling Preheater 6.,SCHEDULED,2026-07-09T17:01:13.789862,
MNT-1412,EQ-WH-1,W-22,CORRECTIVE,Standard checks on Warehouse Logistics Storage Tank 1.,OVERDUE,2026-07-05T20:51:13.789862,
MNT-1413,EQ-RMH-7,W-140,PREVENTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,OVERDUE,2026-07-09T01:16:13.789862,
MNT-1414,EQ-WH-4,W-168,PREVENTIVE,Standard checks on Warehouse Logistics Turbine Generator 4.,COMPLETED,2026-07-08T02:41:13.789862,2026-07-08T05:41:13.789862
MNT-1415,EQ-GS-4,W-230,CORRECTIVE,Standard checks on Gas Storage Facility Compressor 4.,OVERDUE,2026-07-09T13:46:13.789862,
MNT-1416,EQ-MW-2,W-123,EMERGENCY,Standard checks on Maintenance Workshop Conveyor Belt 2.,SCHEDULED,2026-07-04T14:56:13.789862,
MNT-1417,EQ-BF-5,W-7,CORRECTIVE,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-10T14:11:13.789862,
MNT-1418,EQ-MW-2,W-200,PREVENTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,SCHEDULED,2026-07-02T22:41:13.789862,
MNT-1419,EQ-WH-6,W-161,CORRECTIVE,Standard checks on Warehouse Logistics Steam Boiler 6.,OVERDUE,2026-07-11T06:36:13.789862,
MNT-1420,EQ-RMH-6,W-137,EMERGENCY,Standard checks on Raw Material Handling Preheater 6.,OVERDUE,2026-07-08T20:11:13.789862,
MNT-1421,EQ-BF-3,W-220,CORRECTIVE,Standard checks on Blast Furnace Valve Block 3.,SCHEDULED,2026-07-10T16:56:13.789862,
MNT-1422,EQ-CS-4,W-128,EMERGENCY,Standard checks on Compressor Station Turbine Generator 4.,COMPLETED,2026-07-04T00:36:13.789862,2026-07-04T03:36:13.789862
MNT-1423,EQ-RMH-3,W-51,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 3.,SCHEDULED,2026-07-08T20:41:13.789862,
MNT-1424,EQ-UA-4,W-165,EMERGENCY,Standard checks on Utilities Area Steam Boiler 4.,OVERDUE,2026-07-09T09:41:13.789862,
MNT-1425,EQ-CS-5,W-1,PREVENTIVE,Standard checks on Compressor Station Extractor Fan 5.,SCHEDULED,2026-07-07T12:06:13.789862,
MNT-1426,EQ-WH-3,W-161,PREVENTIVE,Standard checks on Warehouse Logistics Compressor 3.,OVERDUE,2026-07-05T05:06:13.789862,
MNT-1427,EQ-WH-4,W-69,CORRECTIVE,Standard checks on Warehouse Logistics Turbine Generator 4.,SCHEDULED,2026-07-02T06:16:13.789862,
MNT-1428,EQ-UA-2,W-100,EMERGENCY,Standard checks on Utilities Area Turbine Generator 2.,SCHEDULED,2026-07-07T06:06:13.789862,
MNT-1429,EQ-BH-4,W-176,PREVENTIVE,Standard checks on Boiler House Steam Boiler 4.,SCHEDULED,2026-07-08T07:56:13.789862,
MNT-1430,EQ-COB-2,W-173,EMERGENCY,Standard checks on Coke Oven Battery Steam Boiler 2.,COMPLETED,2026-07-03T14:41:13.789862,2026-07-03T17:41:13.789862
MNT-1431,EQ-BF-5,W-200,CORRECTIVE,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-06T17:01:13.789862,
MNT-1432,EQ-GS-5,W-47,CORRECTIVE,Standard checks on Gas Storage Facility Valve Block 5.,OVERDUE,2026-07-09T06:46:13.789862,
MNT-1433,EQ-RMH-4,W-101,EMERGENCY,Standard checks on Raw Material Handling Compressor 4.,COMPLETED,2026-07-04T15:01:13.789862,2026-07-04T18:01:13.789862
MNT-1434,EQ-BH-1,W-48,EMERGENCY,Standard checks on Boiler House Storage Tank 1.,COMPLETED,2026-07-10T21:56:13.789862,2026-07-10T23:56:13.789862
MNT-1435,EQ-RMH-1,W-190,CORRECTIVE,Standard checks on Raw Material Handling Storage Tank 1.,OVERDUE,2026-07-10T00:41:13.789862,
MNT-1436,EQ-UA-7,W-222,CORRECTIVE,Standard checks on Utilities Area Steam Boiler 7.,COMPLETED,2026-07-04T23:56:13.789862,2026-07-05T00:56:13.789862
MNT-1437,EQ-MW-3,W-43,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 3.,COMPLETED,2026-07-05T13:01:13.789862,2026-07-05T16:01:13.789862
MNT-1438,EQ-RMH-1,W-195,CORRECTIVE,Standard checks on Raw Material Handling Storage Tank 1.,SCHEDULED,2026-07-06T15:21:13.789862,
MNT-1439,EQ-BF-5,W-234,PREVENTIVE,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-06T17:16:13.789862,
MNT-1440,EQ-RMH-3,W-44,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 3.,SCHEDULED,2026-07-07T13:51:13.789862,
MNT-1441,EQ-CR-2,W-178,EMERGENCY,Standard checks on Control Room Hub Turbine Generator 2.,OVERDUE,2026-07-04T23:56:13.789862,
MNT-1442,EQ-RMH-5,W-201,PREVENTIVE,Standard checks on Raw Material Handling Steam Boiler 5.,OVERDUE,2026-07-11T14:21:13.789862,
MNT-1443,EQ-GS-3,W-221,CORRECTIVE,Standard checks on Gas Storage Facility Extractor Fan 3.,COMPLETED,2026-07-09T00:16:13.789862,2026-07-09T04:16:13.789862
MNT-1444,EQ-MW-1,W-7,EMERGENCY,Standard checks on Maintenance Workshop Valve Block 1.,OVERDUE,2026-07-11T00:31:13.789862,
MNT-1445,EQ-GS-5,W-245,CORRECTIVE,Standard checks on Gas Storage Facility Valve Block 5.,SCHEDULED,2026-07-07T07:56:13.789862,
MNT-1446,EQ-COB-2,W-157,EMERGENCY,Standard checks on Coke Oven Battery Steam Boiler 2.,OVERDUE,2026-07-06T09:26:13.789862,
MNT-1447,EQ-BH-1,W-212,PREVENTIVE,Standard checks on Boiler House Storage Tank 1.,COMPLETED,2026-07-05T13:21:13.789862,2026-07-05T14:21:13.789862
MNT-1448,EQ-BH-2,W-161,PREVENTIVE,Standard checks on Boiler House Preheater 2.,COMPLETED,2026-07-10T16:46:13.789862,2026-07-10T17:46:13.789862
MNT-1449,EQ-CR-5,W-124,PREVENTIVE,Standard checks on Control Room Hub Extractor Fan 5.,OVERDUE,2026-07-10T08:31:13.789862,
MNT-1450,EQ-COB-4,W-51,CORRECTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,SCHEDULED,2026-07-09T06:06:13.789862,
MNT-1451,EQ-RMH-4,W-61,CORRECTIVE,Standard checks on Raw Material Handling Compressor 4.,COMPLETED,2026-07-05T15:56:13.789862,2026-07-05T16:56:13.789862
MNT-1452,EQ-GS-2,W-101,CORRECTIVE,Standard checks on Gas Storage Facility Conveyor Belt 2.,COMPLETED,2026-07-06T05:01:13.789862,2026-07-06T08:01:13.789862
MNT-1453,EQ-CS-1,W-28,PREVENTIVE,Standard checks on Compressor Station Turbine Generator 1.,OVERDUE,2026-07-06T11:36:13.789862,
MNT-1454,EQ-COB-7,W-56,EMERGENCY,Standard checks on Coke Oven Battery Storage Tank 7.,OVERDUE,2026-07-04T07:16:13.789862,
MNT-1455,EQ-CR-3,W-55,EMERGENCY,Standard checks on Control Room Hub Compressor 3.,OVERDUE,2026-07-07T19:16:13.789862,
MNT-1456,EQ-CR-1,W-244,CORRECTIVE,Standard checks on Control Room Hub Preheater 1.,COMPLETED,2026-07-09T07:06:13.789862,2026-07-09T09:06:13.789862
MNT-1457,EQ-MW-6,W-218,EMERGENCY,Standard checks on Maintenance Workshop Valve Block 6.,COMPLETED,2026-07-06T08:21:13.789862,2026-07-06T09:21:13.789862
MNT-1458,EQ-GS-6,W-244,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 6.,SCHEDULED,2026-07-03T23:11:13.789862,
MNT-1459,EQ-UA-5,W-28,CORRECTIVE,Standard checks on Utilities Area Extractor Fan 5.,COMPLETED,2026-07-05T20:51:13.789862,2026-07-05T21:51:13.789862
MNT-1460,EQ-BF-5,W-117,EMERGENCY,Standard checks on Blast Furnace Turbine Generator 5.,SCHEDULED,2026-07-07T06:46:13.789862,
MNT-1461,EQ-BF-1,W-179,CORRECTIVE,Standard checks on Blast Furnace Valve Block 1.,SCHEDULED,2026-07-10T06:01:13.789862,
MNT-1462,EQ-RMH-2,W-16,PREVENTIVE,Standard checks on Raw Material Handling Valve Block 2.,SCHEDULED,2026-07-10T10:36:13.789862,
MNT-1463,EQ-UA-2,W-123,CORRECTIVE,Standard checks on Utilities Area Turbine Generator 2.,OVERDUE,2026-07-01T22:21:13.789862,
MNT-1464,EQ-BF-2,W-61,EMERGENCY,Standard checks on Blast Furnace Steam Boiler 2.,SCHEDULED,2026-07-09T03:36:13.789862,
MNT-1465,EQ-CR-1,W-197,PREVENTIVE,Standard checks on Control Room Hub Preheater 1.,OVERDUE,2026-07-06T18:56:13.789862,
MNT-1466,EQ-CR-3,W-36,CORRECTIVE,Standard checks on Control Room Hub Compressor 3.,SCHEDULED,2026-07-06T13:01:13.789862,
MNT-1467,EQ-MW-4,W-15,EMERGENCY,Standard checks on Maintenance Workshop Preheater 4.,SCHEDULED,2026-07-06T10:46:13.789862,
MNT-1468,EQ-MW-4,W-203,CORRECTIVE,Standard checks on Maintenance Workshop Preheater 4.,SCHEDULED,2026-07-08T05:36:13.789862,
MNT-1469,EQ-GS-6,W-77,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 6.,COMPLETED,2026-07-04T05:16:13.789862,2026-07-04T09:16:13.789862
MNT-1470,EQ-BH-4,W-131,EMERGENCY,Standard checks on Boiler House Steam Boiler 4.,SCHEDULED,2026-07-06T15:11:13.789862,
MNT-1471,EQ-GS-6,W-139,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 6.,OVERDUE,2026-07-10T19:51:13.789862,
MNT-1472,EQ-RMH-4,W-109,EMERGENCY,Standard checks on Raw Material Handling Compressor 4.,OVERDUE,2026-07-07T00:11:13.789862,
MNT-1473,EQ-UA-7,W-158,CORRECTIVE,Standard checks on Utilities Area Steam Boiler 7.,COMPLETED,2026-07-05T22:21:13.789862,2026-07-06T00:21:13.789862
MNT-1474,EQ-RMH-6,W-234,CORRECTIVE,Standard checks on Raw Material Handling Preheater 6.,COMPLETED,2026-07-03T12:36:13.789862,2026-07-03T16:36:13.789862
MNT-1475,EQ-COB-2,W-35,PREVENTIVE,Standard checks on Coke Oven Battery Steam Boiler 2.,COMPLETED,2026-07-01T22:11:13.789862,2026-07-01T23:11:13.789862
MNT-1476,EQ-UA-5,W-79,PREVENTIVE,Standard checks on Utilities Area Extractor Fan 5.,SCHEDULED,2026-07-07T03:11:13.789862,
MNT-1477,EQ-RMH-4,W-166,PREVENTIVE,Standard checks on Raw Material Handling Compressor 4.,COMPLETED,2026-07-05T03:16:13.789862,2026-07-05T05:16:13.789862
MNT-1478,EQ-WH-1,W-225,CORRECTIVE,Standard checks on Warehouse Logistics Storage Tank 1.,OVERDUE,2026-07-03T11:36:13.789862,
MNT-1479,EQ-COB-5,W-54,CORRECTIVE,Standard checks on Coke Oven Battery Steam Boiler 5.,OVERDUE,2026-07-01T21:56:13.789862,
MNT-1480,EQ-CS-2,W-9,EMERGENCY,Standard checks on Compressor Station Compressor 2.,COMPLETED,2026-07-09T06:11:13.789862,2026-07-09T10:11:13.789862
MNT-1481,EQ-UA-1,W-47,CORRECTIVE,Standard checks on Utilities Area Conveyor Belt 1.,COMPLETED,2026-07-11T12:51:13.789862,2026-07-11T15:51:13.789862
MNT-1482,EQ-BH-1,W-218,EMERGENCY,Standard checks on Boiler House Storage Tank 1.,SCHEDULED,2026-07-09T05:31:13.789862,
MNT-1483,EQ-MW-2,W-99,EMERGENCY,Standard checks on Maintenance Workshop Conveyor Belt 2.,SCHEDULED,2026-07-10T04:16:13.789862,
MNT-1484,EQ-CS-3,W-37,PREVENTIVE,Standard checks on Compressor Station Valve Block 3.,SCHEDULED,2026-07-08T22:36:13.789862,
MNT-1485,EQ-MW-5,W-115,EMERGENCY,Standard checks on Maintenance Workshop Storage Tank 5.,OVERDUE,2026-07-10T21:36:13.789862,
MNT-1486,EQ-BH-1,W-165,PREVENTIVE,Standard checks on Boiler House Storage Tank 1.,COMPLETED,2026-07-07T17:06:13.789862,2026-07-07T18:06:13.789862
MNT-1487,EQ-MW-1,W-217,EMERGENCY,Standard checks on Maintenance Workshop Valve Block 1.,SCHEDULED,2026-07-09T03:56:13.789862,
MNT-1488,EQ-BF-4,W-236,PREVENTIVE,Standard checks on Blast Furnace Conveyor Belt 4.,OVERDUE,2026-07-07T01:56:13.789862,
MNT-1489,EQ-COB-5,W-135,EMERGENCY,Standard checks on Coke Oven Battery Steam Boiler 5.,COMPLETED,2026-07-04T22:36:13.789862,2026-07-04T23:36:13.789862
MNT-1490,EQ-BF-2,W-49,EMERGENCY,Standard checks on Blast Furnace Steam Boiler 2.,COMPLETED,2026-07-02T17:31:13.789862,2026-07-02T19:31:13.789862
MNT-1491,EQ-BF-3,W-225,EMERGENCY,Standard checks on Blast Furnace Valve Block 3.,COMPLETED,2026-07-11T00:16:13.789862,2026-07-11T03:16:13.789862
MNT-1492,EQ-COB-6,W-16,PREVENTIVE,Standard checks on Coke Oven Battery Valve Block 6.,SCHEDULED,2026-07-07T04:46:13.789862,
MNT-1493,EQ-CR-3,W-24,CORRECTIVE,Standard checks on Control Room Hub Compressor 3.,COMPLETED,2026-07-09T05:26:13.789862,2026-07-09T09:26:13.789862
MNT-1494,EQ-CS-3,W-41,EMERGENCY,Standard checks on Compressor Station Valve Block 3.,SCHEDULED,2026-07-04T17:41:13.789862,
MNT-1495,EQ-CS-1,W-89,PREVENTIVE,Standard checks on Compressor Station Turbine Generator 1.,SCHEDULED,2026-07-02T04:21:13.789862,
MNT-1496,EQ-UA-3,W-121,EMERGENCY,Standard checks on Utilities Area Compressor 3.,SCHEDULED,2026-07-07T13:56:13.789862,
MNT-1497,EQ-COB-6,W-171,CORRECTIVE,Standard checks on Coke Oven Battery Valve Block 6.,COMPLETED,2026-07-08T07:41:13.789862,2026-07-08T09:41:13.789862
MNT-1498,EQ-CS-2,W-119,EMERGENCY,Standard checks on Compressor Station Compressor 2.,OVERDUE,2026-07-06T09:36:13.789862,
MNT-1499,EQ-MW-1,W-144,CORRECTIVE,Standard checks on Maintenance Workshop Valve Block 1.,OVERDUE,2026-07-10T18:21:13.789862,
MNT-1500,EQ-BF-2,W-98,PREVENTIVE,Standard checks on Blast Furnace Steam Boiler 2.,SCHEDULED,2026-07-04T00:51:13.789862,
MNT-1501,EQ-BH-3,W-37,CORRECTIVE,Standard checks on Boiler House Valve Block 3.,COMPLETED,2026-07-10T15:11:13.789862,2026-07-10T19:11:13.789862
MNT-1502,EQ-CR-4,W-169,CORRECTIVE,Standard checks on Control Room Hub Valve Block 4.,COMPLETED,2026-07-09T17:06:13.789862,2026-07-09T18:06:13.789862
MNT-1503,EQ-COB-4,W-141,CORRECTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,SCHEDULED,2026-07-04T10:06:13.789862,
MNT-1504,EQ-BF-1,W-166,CORRECTIVE,Standard checks on Blast Furnace Valve Block 1.,COMPLETED,2026-07-08T12:06:13.789862,2026-07-08T13:06:13.789862
MNT-1505,EQ-WH-3,W-56,EMERGENCY,Standard checks on Warehouse Logistics Compressor 3.,OVERDUE,2026-07-04T15:46:13.789862,
MNT-1506,EQ-WH-6,W-56,EMERGENCY,Standard checks on Warehouse Logistics Steam Boiler 6.,SCHEDULED,2026-07-09T20:46:13.789862,
MNT-1507,EQ-BF-5,W-245,PREVENTIVE,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-02T06:01:13.789862,
MNT-1508,EQ-BF-5,W-40,EMERGENCY,Standard checks on Blast Furnace Turbine Generator 5.,SCHEDULED,2026-07-10T00:51:13.789862,
MNT-1509,EQ-GS-2,W-190,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 2.,COMPLETED,2026-07-07T16:41:13.789862,2026-07-07T17:41:13.789862
